data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-01-01,13572000,ESPALHA (Seringal Belo Horizonte),662.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,1,1,Friday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-02,13572000,ESPALHA (Seringal Belo Horizonte),670.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,2,1,Saturday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-03,13572000,ESPALHA (Seringal Belo Horizonte),763.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,3,1,Sunday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-04,13572000,ESPALHA (Seringal Belo Horizonte),815.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,4,1,Monday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-05,13572000,ESPALHA (Seringal Belo Horizonte),829.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,5,1,Tuesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-06,13572000,ESPALHA (Seringal Belo Horizonte),838.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,6,1,Wednesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-07,13572000,ESPALHA (Seringal Belo Horizonte),849.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,7,1,Thursday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-08,13572000,ESPALHA (Seringal Belo Horizonte),857.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,8,1,Friday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-09,13572000,ESPALHA (Seringal Belo Horizonte),864.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,9,1,Saturday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-10,13572000,ESPALHA (Seringal Belo Horizonte),869.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,10,1,Sunday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
