produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,2.56
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.84
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,4.75
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,5.0
10-28-20,NÃO INFORMADO,4516,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,5.0
10-30-10,NÃO INFORMADO,12306,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,4.6
15-00-30,NÃO INFORMADO,12701,FLORESTA DO ARAGUAIA-PA,1503044,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,3.95
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,5.0
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,3.22
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,3.12
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,3.54
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,4.77
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,4.7
20-05-20,NÃO INFORMADO,4523,FLORESTA DO ARAGUAIA-PA,1503044,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,4.2
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.95
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.75
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,8.16
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.75
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.29
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.26
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.39
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.25
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.95
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.77
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,8.94
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.28
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.66
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.55
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,6.59
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.0
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.93
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.93
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,8.9
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.5
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.31
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,5.73
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,6.5
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.1
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.95
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.09
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,10.05
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.5
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.52
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.86
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,5.77
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,4.93
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,4.56
ABAMECTIN NORTOXA,18 G/L ABAMECTINA AV,8925,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,150.0
ABAMECTIN NORTOXA,18 G/L ABAMECTINA AV,8925,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,73.0
ACAI,FRUTO,8623,BRASILÉIA-AC,1200104,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.97
ACAI,FRUTO,8623,FEIJÓ-AC,1200302,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.97
ACAI,FRUTO,8623,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.98
ACAI,FRUTO,8623,CARAUARI-AM,1301001,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.47
ACAI,FRUTO,8623,MACAPÁ-AP,1600303,AP,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.16
ACAI,FRUTO,8623,MAZAGÃO-AP,1600402,AP,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.16
ACAI,FRUTO,8623,AFUÁ-PA,1500305,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.82
ACAI,FRUTO,8623,BELÉM-PA,1501402,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.87
ACAI,FRUTO,8623,CURRALINHO-PA,1502806,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.43
ACAI,FRUTO,8623,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.23
ACAI,FRUTO,8623,LIMOEIRO DO AJURU-PA,1504000,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.94
ACAI,FRUTO,8623,MUANÁ-PA,1504901,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.46
ACAI,FRUTO,8623,PONTA DE PEDRAS-PA,1505700,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.84
