produto,classificao_produto,id_produto,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
04-20-20,NÃO INFORMADO,4482,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,2.56
04-20-20,NÃO INFORMADO,4482,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,2.56
04-20-20,NÃO INFORMADO,4482,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,2.56
06-40-08,NÃO INFORMADO,14019,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.84
06-40-08,NÃO INFORMADO,14019,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,4.75
10-28-20,NÃO INFORMADO,4516,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,5.0
10-28-20,NÃO INFORMADO,4516,PA,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,5.0
10-28-20,NÃO INFORMADO,4516,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,5.0
10-30-10,NÃO INFORMADO,12306,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,4.6
15-00-30,NÃO INFORMADO,12701,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,3.95
18-18-18,NÃO INFORMADO,13182,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,5.0
18-18-18,NÃO INFORMADO,13182,PA,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,5.0
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,3.22
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,3.12
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,3.54
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.77
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.7
20-05-20,NÃO INFORMADO,4523,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,4.2
ABACAXI,PÉROLA,6320,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.85
ABACAXI,PÉROLA,6320,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,8.16
ABACAXI,PÉROLA,6320,AP,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.75
ABACAXI,PÉROLA,6320,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.04
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.39
ABACAXI,PÉROLA,6320,TO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.25
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.86
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,8.94
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.28
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.19
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,6.59
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.0
ABACAXI,PÉROLA,6320,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.93
ABACAXI,PÉROLA,6320,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,8.9
ABACAXI,PÉROLA,6320,AP,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.5
ABACAXI,PÉROLA,6320,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.15
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,6.5
ABACAXI,PÉROLA,6320,TO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.1
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.03
ABACAXI,PÉROLA,6320,AM,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,10.05
ABACAXI,PÉROLA,6320,AP,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,3.5
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.52
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,4.06
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,4.93
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,4.56
ABACAXI,PÉROLA,6320,AC,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,4.41
ABACAXI,PÉROLA,6320,AM,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,9.49
ABACAXI,PÉROLA,6320,AP,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,4.08
ABACAXI,PÉROLA,6320,PA,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,1.33
ABACAXI,PÉROLA,6320,RO,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,4.44
ABACAXI,IMPERIAL,14887,RR,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,7.95
ABACAXI,PÉROLA,6320,TO,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,4.51
ABACAXI,PÉROLA,6320,AC,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,4.4
ABACAXI,PÉROLA,6320,AM,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,7.0
ABACAXI,PÉROLA,6320,AP,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,4.08
ABACAXI,PÉROLA,6320,PA,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,1.83
ABACAXI,PÉROLA,6320,RO,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,4.45
ABACAXI,IMPERIAL,14887,RR,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,6.76
ABACAXI,PÉROLA,6320,TO,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,4.19
ABACAXI,PÉROLA,6320,AC,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,4.41
ABACAXI,PÉROLA,6320,AM,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,7.11
ABACAXI,PÉROLA,6320,AP,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,3.88
ABACAXI,PÉROLA,6320,PA,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,2.33
ABACAXI,PÉROLA,6320,RO,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,4.59
ABACAXI,IMPERIAL,14887,RR,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,6.31
