produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,2,02-02-2026 - 06-02-2026,1,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,2,23-02-2026 - 27-02-2026,4,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,2,16-02-2026 - 20-02-2026,3,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,2,09-02-2026 - 13-02-2026,2,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,3,16-03-2026 - 20-03-2026,3,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,3,23-03-2026 - 27-03-2026,4,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,3,09-03-2026 - 13-03-2026,2,PREÇO PAGO PELO PROD,2.56
04-20-20,NÃO INFORMADO,4482,LAGOA DA CONFUSÃO-TO,1711902,TO,NORTE,2026,3,02-03-2026 - 06-03-2026,1,PREÇO PAGO PELO PROD,2.56
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,4.84
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,4.84
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,4.84
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,4.84
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,02-03-2026 - 06-03-2026,1,PREÇO PAGO PELO PROD,4.75
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,09-03-2026 - 13-03-2026,2,PREÇO PAGO PELO PROD,4.75
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,16-03-2026 - 20-03-2026,3,PREÇO PAGO PELO PROD,4.75
06-40-08,NÃO INFORMADO,14019,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,23-03-2026 - 27-03-2026,4,PREÇO PAGO PELO PROD,4.75
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,02-03-2026 - 06-03-2026,1,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,09-03-2026 - 13-03-2026,2,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,16-03-2026 - 20-03-2026,3,PREÇO PAGO PELO PROD,5.0
10-28-20,NÃO INFORMADO,4516,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,23-03-2026 - 27-03-2026,4,PREÇO PAGO PELO PROD,5.0
10-30-10,NÃO INFORMADO,12306,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,4.6
10-30-10,NÃO INFORMADO,12306,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO PAGO PELO PROD,4.6
10-30-10,NÃO INFORMADO,12306,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO PAGO PELO PROD,4.6
10-30-10,NÃO INFORMADO,12306,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,4.6
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,5.0
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,16-03-2026 - 20-03-2026,3,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,23-03-2026 - 27-03-2026,4,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,02-03-2026 - 06-03-2026,1,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,PEDRO AFONSO-TO,1716505,TO,NORTE,2026,3,09-03-2026 - 13-03-2026,2,PREÇO PAGO PELO PROD,3.12
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,TUCUMÃ-PA,1508084,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO PAGO PELO PROD,4.77
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,MACHADINHO D'OESTE-RO,1100130,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,NOVA BRASILÂNDIA D'OESTE-RO,1100148,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,4.7
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,2.95
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,2.93
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,8.6
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,7.83
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,8.5
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,7.7
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.29
