municipio_ceasa,cod_ibge_municipio,uf_ceasa,dsc_ceasa,dsc_produto,sig_unidade_medida,data_preco,preco_diario
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/07/07 00:00:00.000,6.3
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/08/09 00:00:00.000,6.66
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/08/23 00:00:00.000,6.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/08 00:00:00.000,5.09
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/10 00:00:00.000,5.28
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/21 00:00:00.000,5.38
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/03 00:00:00.000,5.31
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/30 00:00:00.000,5.88
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/28 00:00:00.000,5.83
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/06/01 00:00:00.000,5.4
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/08/26 00:00:00.000,6.37
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/09/15 00:00:00.000,6.13
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/09/06 00:00:00.000,6.47
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/13 00:00:00.000,5.81
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/11 00:00:00.000,6.13
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/09/27 00:00:00.000,6.75
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/05 00:00:00.000,6.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/09/30 00:00:00.000,6.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/26 00:00:00.000,5.72
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/19 00:00:00.000,5.83
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/21 00:00:00.000,5.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/10/28 00:00:00.000,5.83
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/11/08 00:00:00.000,6.08
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/11/23 00:00:00.000,6.82
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/11/17 00:00:00.000,6.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/11/18 00:00:00.000,7.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/01/04 00:00:00.000,7.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/28 00:00:00.000,7.36
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/22 00:00:00.000,7.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/01/12 00:00:00.000,7.12
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/03 00:00:00.000,5.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/01/27 00:00:00.000,5.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/01 00:00:00.000,5.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/16 00:00:00.000,7.42
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/09 00:00:00.000,5.67
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/14 00:00:00.000,7.33
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/13 00:00:00.000,7.38
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2022/12/05 00:00:00.000,10.47
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/14 00:00:00.000,5.88
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/24 00:00:00.000,4.44
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/08 00:00:00.000,5.75
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/02/10 00:00:00.000,5.48
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/18 00:00:00.000,5.72
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/14 00:00:00.000,4.9
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/07 00:00:00.000,4.3
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/29 00:00:00.000,5.02
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/01 00:00:00.000,5.01
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/15 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/03 00:00:00.000,4.66
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/25 00:00:00.000,4.74
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/10 00:00:00.000,5.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/27 00:00:00.000,4.07
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/24 00:00:00.000,4.95
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/08 00:00:00.000,5.01
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/17 00:00:00.000,4.63
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/22 00:00:00.000,4.56
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/05 00:00:00.000,4.91
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/31 00:00:00.000,5.31
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/12 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/21 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/14 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/20 00:00:00.000,3.75
