id_ano_comercializacao,id_mes_comercializacao,municipio_origem_produto,cod_ibge_municipio_origem_produto,uf_origem_produto,dsc_ceasa,uf_ceasa,municipio_ceasa,cod_ibge_municipio_ceasa,dsc_produto,qtd_comercializada_kg,valor_comercializado,pais_origem
2021,8,SANTA RITA DO TOCANTINS-TO,1718899,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,MELANCIA,64000,82133.33,Brasil
2021,8,PALMAS-TO,1721000,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,MELANCIA,14000,17966.67,Brasil
2021,8,MIRANORTE-TO,1713304,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,MELANCIA,245000,314416.67,Brasil
2021,8,MIRACEMA DO TOCANTINS-TO,1713205,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,MELANCIA,115000,147583.33,Brasil
2021,8,CRISTALÂNDIA-TO,1706100,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,MELANCIA,132000,169400.0,Brasil
2021,8,MIRANORTE-TO,1713304,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,ABACAXI PEROLA,416000,855111.11,Brasil
2021,8,MIRACEMA DO TOCANTINS-TO,1713205,TO,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,ABACAXI PEROLA,170000,349444.44,Brasil
2021,8,FLORESTA DO ARAGUAIA-PA,1503044,PA,CEASA/GO - GOIANIA,GO,GOIÂNIA-GO,5208707,ABACAXI PEROLA,14000,28777.78,Brasil
2021,8,SANTA ROSA DO TOCANTINS-TO,1718907,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,18000,25885.71,Brasil
2021,8,SANTA RITA DO TOCANTINS-TO,1718899,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,46000,66152.38,Brasil
2021,8,PALMAS-TO,1721000,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,513000,737742.84,Brasil
2021,8,LAGOA DA CONFUSÃO-TO,1711902,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,60560,87091.05,Brasil
2021,8,CRISTALÂNDIA-TO,1706100,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,166000,238723.8,Brasil
2021,8,ALVORADA-TO,1700707,TO,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,MELANCIA,14000,20133.33,Brasil
2021,8,CASTANHAL-PA,1502400,PA,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,EMBALAGENS PLASTICAS,99,990.0,Brasil
2021,8,FLORESTA DO ARAGUAIA-PA,1503044,PA,CEASA/DF - BRASILIA,DF,BRASÍLIA-DF,5300108,ABACAXI PEROLA GRAUDO,110000,250569.53,Brasil
2021,8,SANTA RITA DO TOCANTINS-TO,1718899,TO,CEASAMINAS - UBERABA,MG,UBERABA-MG,3170107,MELANCIA,14000,21641.2,Brasil
2021,8,ALVORADA-TO,1700707,TO,CEASAMINAS - UBERABA,MG,UBERABA-MG,3170107,MELANCIA,18000,27824.4,Brasil
2021,8,CHAVES-PA,1502509,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,BANANA PRATA,30000,77812.84,Brasil
2021,8,BELÉM-PA,1501402,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,BAGRE,1100,11.0,Brasil
2021,8,XINGUARA-PA,1508407,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,17783,177.83,Brasil
2021,8,SANTANA-AP,1600600,AP,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,35500,355.0,Brasil
2021,8,MACAPÁ-AP,1600303,AP,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,7000,70.0,Brasil
2021,8,IGARAPÉ-MIRI-PA,1503309,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,30000,300.0,Brasil
2021,8,GUARAÍ-TO,1709302,TO,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,19800,198.0,Brasil
2021,8,CASTANHAL-PA,1502400,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,2645,26.45,Brasil
2021,8,BELÉM-PA,1501402,PA,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,39140,391.4,Brasil
2021,8,ARAGUAÍNA-TO,1702109,TO,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,27319,273.19,Brasil
2021,8,ALVORADA-TO,1700707,TO,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,OUTROS GENEROS,4387,43.87,Brasil
2021,8,PORTO VELHO-RO,1100205,RO,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,ALHO,215430,4093170.0,Brasil
2021,8,MIRANORTE-TO,1713304,TO,CEASA/RJ - RIO DE JANEIRO,RJ,RIO DE JANEIRO-RJ,3304557,ABACAXI,16000,32000.0,Brasil
