SEMANA,ESTADO_SIGLA,MUNICIPIO,PRODUTO,preco_medio,preco_min,preco_max,n_postos
2019-12-30,AC,CRUZEIRO DO SUL,DIESEL,4.85,4.85,4.85,9
2020-01-06,AC,CRUZEIRO DO SUL,DIESEL,4.92,4.85,4.94,9
2020-01-13,AC,CRUZEIRO DO SUL,DIESEL,4.94,4.94,4.94,9
2020-01-20,AC,CRUZEIRO DO SUL,DIESEL,4.94,4.94,4.94,9
2020-01-27,AC,CRUZEIRO DO SUL,DIESEL,4.94,4.94,4.94,9
2020-02-03,AC,CRUZEIRO DO SUL,DIESEL,4.94,4.94,4.94,8
2020-02-10,AC,CRUZEIRO DO SUL,DIESEL,4.88,4.85,4.94,9
2020-02-17,AC,CRUZEIRO DO SUL,DIESEL,4.88375,4.85,4.94,8
2020-02-24,AC,CRUZEIRO DO SUL,DIESEL,4.88,4.85,4.94,9
2020-03-02,AC,CRUZEIRO DO SUL,DIESEL,4.88,4.85,4.94,9
2020-03-09,AC,CRUZEIRO DO SUL,DIESEL,4.88,4.85,4.94,9
2020-03-16,AC,CRUZEIRO DO SUL,DIESEL,4.88,4.85,4.94,9
2020-03-23,AC,CRUZEIRO DO SUL,DIESEL,4.887124999999999,4.85,4.949,8
2020-03-30,AC,CRUZEIRO DO SUL,DIESEL,4.708375,4.56,4.85,8
2020-04-06,AC,CRUZEIRO DO SUL,DIESEL,4.664375,4.399,4.85,8
2020-04-13,AC,CRUZEIRO DO SUL,DIESEL,4.6845,4.56,4.85,8
2020-04-20,AC,CRUZEIRO DO SUL,DIESEL,4.6165,4.569,4.859,8
2020-04-27,AC,CRUZEIRO DO SUL,DIESEL,4.553125,4.4,4.859,8
2020-05-04,AC,CRUZEIRO DO SUL,DIESEL,4.434,4.409,4.609,8
2020-05-11,AC,CRUZEIRO DO SUL,DIESEL,4.434,4.409,4.609,8
2020-05-18,AC,CRUZEIRO DO SUL,DIESEL,4.434,4.409,4.609,8
2020-05-25,AC,CRUZEIRO DO SUL,DIESEL,4.4,4.4,4.4,8
2020-06-01,AC,CRUZEIRO DO SUL,DIESEL,4.425000000000001,4.4,4.6,8
2020-06-08,AC,CRUZEIRO DO SUL,DIESEL,4.425000000000001,4.4,4.6,8
