SEMANA,PRODUTO,preco_medio,preco_min,preco_max,n_postos,n_municipios
2019-12-30,DIESEL,4.141331288343559,3.62,4.99,163,23
2020-01-06,DIESEL,4.0985252918287935,3.62,4.99,257,33
2020-01-13,DIESEL,4.0882490566037735,3.579,4.99,265,33
2020-01-20,DIESEL,4.122437246963562,3.59,4.99,247,33
2020-01-27,DIESEL,4.067298113207547,3.489,4.95,265,34
2020-02-03,DIESEL,4.06970281124498,3.479,4.99,249,34
2020-02-10,DIESEL,4.0349453125,3.419,4.99,256,35
2020-02-17,DIESEL,4.017553505535056,3.419,4.95,271,34
2020-02-24,DIESEL,4.001953667953669,3.329,4.95,259,34
2020-03-02,DIESEL,3.9682234848484854,3.329,4.95,264,34
2020-03-09,DIESEL,3.9436614173228346,3.289,4.95,254,33
2020-03-16,DIESEL,3.923222222222222,3.21,4.95,270,33
2020-03-23,DIESEL,3.8336230769230766,3.119,4.95,260,33
2020-03-30,DIESEL,3.7993360655737707,3.03,4.95,244,33
2020-04-06,DIESEL,3.695648648648649,2.989,4.95,259,33
2020-04-13,DIESEL,3.704327868852459,2.989,4.95,244,33
2020-04-20,DIESEL,3.603944,2.919,4.95,250,33
2020-04-27,DIESEL,3.571268292682927,2.77,4.95,246,33
2020-05-04,DIESEL,3.452688,2.549,4.95,250,33
2020-05-11,DIESEL,3.4168975409836064,2.549,4.95,244,33
2020-05-18,DIESEL,3.3526244725738397,2.549,4.95,237,33
2020-05-25,DIESEL,3.361051063829787,2.549,4.95,235,33
2020-06-01,DIESEL,3.354759842519685,2.599,4.95,254,33
2020-06-08,DIESEL,3.3746375,2.699,4.6,240,33
2020-06-15,DIESEL,3.3659745762711863,2.599,4.95,236,33
2020-06-22,DIESEL,3.36916,2.699,4.95,250,33
2020-06-29,DIESEL,3.4501772151898735,2.799,4.95,237,33
2020-07-06,DIESEL,3.5016223175965666,2.85,4.95,233,33
2020-07-13,DIESEL,3.5192908366533864,2.699,4.95,251,33
2020-07-20,DIESEL,3.5480946502057615,2.899,4.95,243,33
2020-07-27,DIESEL,3.6307284482758617,2.939,4.95,232,33
2020-08-03,DIESEL,3.622931174089069,3.09,4.95,247,33
2020-08-10,DIESEL,3.6773083333333334,3.09,4.95,240,33
2020-08-17,DIESEL,3.6891702127659576,3.139,4.95,235,33
2020-10-19,DIESEL,3.7528367346938776,3.279,4.65,98,6
2020-10-26,DIESEL,3.8000568181818184,3.219,4.65,88,6
2020-11-02,DIESEL,3.7826338028169015,3.219,4.65,71,6
2020-11-09,DIESEL,3.7358522727272727,3.299,4.65,88,6
2020-11-16,DIESEL,3.8085199999999997,3.299,4.599,100,7
2020-11-23,DIESEL,3.815962962962963,3.29,4.56,81,7
2020-11-30,DIESEL,3.853134020618557,3.35,4.77,97,7
2020-12-07,DIESEL,3.8665833333333333,3.35,4.65,132,7
2020-12-14,DIESEL,3.8863092783505153,3.399,4.799,97,7
2020-12-21,DIESEL,3.963588888888889,3.399,4.8,90,7
2020-12-28,DIESEL,4.006075,3.399,4.8,80,6
2021-01-04,DIESEL,3.9981964285714287,3.49,4.8,112,7
2021-01-11,DIESEL,3.987453608247423,3.379,4.8,97,7
2021-01-18,DIESEL,4.0732959183673465,3.499,5.25,98,7
2021-01-25,DIESEL,4.06359793814433,3.559,4.8,97,7
2021-02-01,DIESEL,4.060918032786885,3.289,4.8,122,9
2021-02-08,DIESEL,4.205017857142857,3.69,4.95,112,10
