AnoMes,Natureza da Carga,Sentido,ToneladasMovimentadas
2018-10,Carga Geral,Desembarcados,1846.0
2018-10,Carga Geral,Embarcados,979.0
2019-12,Carga Conteinerizada,Desembarcados,115217.325
2019-12,Carga Conteinerizada,Embarcados,39075.279
2019-12,Carga Geral,Desembarcados,21942.260000000002
2019-12,Carga Geral,Embarcados,3836.0
2019-12,Granel Líquido e Gasoso,Desembarcados,4293.018
2019-12,Granel Líquido e Gasoso,Embarcados,26333.356999999996
2019-12,Granel Sólido,Desembarcados,19442.289
2019-12,Granel Sólido,Embarcados,57056.501
2020-01,Carga Conteinerizada,Desembarcados,409695.634
2020-01,Carga Conteinerizada,Embarcados,178492.146
2020-01,Carga Geral,Desembarcados,135866.681
2020-01,Carga Geral,Embarcados,52156.614
2020-01,Granel Líquido e Gasoso,Desembarcados,527818.845
2020-01,Granel Líquido e Gasoso,Embarcados,384349.68
2020-01,Granel Líquido e Gasoso,Não Informado,7884.524
2020-01,Granel Sólido,Desembarcados,222623.958
2020-01,Granel Sólido,Embarcados,255498.39500000002
2020-02,Carga Conteinerizada,Desembarcados,389009.765
2020-02,Carga Conteinerizada,Embarcados,158910.557
2020-02,Carga Conteinerizada,Não Informado,185.87
2020-02,Carga Geral,Desembarcados,144487.638
2020-02,Carga Geral,Embarcados,54476.769
2020-02,Granel Líquido e Gasoso,Desembarcados,517995.137
2020-02,Granel Líquido e Gasoso,Embarcados,411595.377
2020-02,Granel Líquido e Gasoso,Não Informado,3828.919
2020-02,Granel Sólido,Desembarcados,545552.32
2020-02,Granel Sólido,Embarcados,534818.387
2020-03,Carga Conteinerizada,Desembarcados,389955.138
2020-03,Carga Conteinerizada,Embarcados,197142.716
2020-03,Carga Geral,Desembarcados,152983.836
2020-03,Carga Geral,Embarcados,61275.929
2020-03,Granel Líquido e Gasoso,Desembarcados,480787.785
2020-03,Granel Líquido e Gasoso,Embarcados,426413.403
2020-03,Granel Líquido e Gasoso,Não Informado,10044.158
2020-03,Granel Sólido,Desembarcados,591731.301
2020-03,Granel Sólido,Embarcados,513478.603
2020-04,Carga Conteinerizada,Desembarcados,405956.538
2020-04,Carga Conteinerizada,Embarcados,151498.881
2020-04,Carga Conteinerizada,Não Informado,32.3
2020-04,Carga Geral,Desembarcados,89681.686
2020-04,Carga Geral,Embarcados,25373.132
2020-04,Granel Líquido e Gasoso,Desembarcados,471352.16599999997
2020-04,Granel Líquido e Gasoso,Embarcados,415232.451
2020-04,Granel Líquido e Gasoso,Não Informado,5498.065
2020-04,Granel Sólido,Desembarcados,598370.764
2020-04,Granel Sólido,Embarcados,438500.595
2020-05,Carga Conteinerizada,Desembarcados,299507.248
2020-05,Carga Conteinerizada,Embarcados,125700.563
2020-05,Carga Conteinerizada,Não Informado,5.608
2020-05,Carga Geral,Desembarcados,141889.791
2020-05,Carga Geral,Embarcados,30535.1
2020-05,Granel Líquido e Gasoso,Desembarcados,430695.484
2020-05,Granel Líquido e Gasoso,Embarcados,368526.127
2020-05,Granel Líquido e Gasoso,Não Informado,7458.355
2020-05,Granel Sólido,Desembarcados,683477.122
2020-05,Granel Sólido,Embarcados,561685.47
2020-06,Carga Conteinerizada,Desembarcados,405723.017
2020-06,Carga Conteinerizada,Embarcados,168043.54
2020-06,Carga Conteinerizada,Não Informado,38.6
