uf,AnoMes,cota_media_cm,cota_max_cm,cota_min_cm,n_estacoes,n_dias,fonte,produto,valor,unidade,nivel_comercializacao
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL,5.24,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL S10,5.26,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA,5.939,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA ADITIVADA,5.935,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GLP,91.25,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL,4.537319999999999,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL,4.5561875,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL,4.54285,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL,4.55788,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL S10,4.590148148148148,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL S10,4.616499999999999,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL S10,4.593954545454545,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,DIESEL S10,4.604142857142857,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,ETANOL,4.038,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,ETANOL,4.0139000000000005,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,ETANOL,4.046357142857143,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,ETANOL,4.087611111111111,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA,5.068321428571429,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA,5.090888888888888,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA,5.084086956521739,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA,5.1611379310344825,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA ADITIVADA,5.143541666666667,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA ADITIVADA,5.163799999999999,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA ADITIVADA,5.159714285714285,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GASOLINA ADITIVADA,5.225153846153845,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GLP,93.41304347826087,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GLP,93.7495,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GLP,95.4047619047619,,
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,ANP_combustivel,GLP,95.61363636363636,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,5.2188888888888885,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,5.764,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,5.2275,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,5.734999999999999,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,6.004,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,6.1248,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,6.0335,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,6.326666666666667,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,98.75,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,102.525,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,4.58216,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,4.61908,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,4.700227272727273,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL,4.914166666666667,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,4.6375,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,4.700892857142857,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,4.742434782608695,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,DIESEL S10,4.985888888888889,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,ETANOL,4.1335625,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,ETANOL,4.170315789473684,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,ETANOL,4.196357142857143,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,ETANOL,4.333111111111111,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,5.254925925925926,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,5.330448275862069,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,5.448083333333333,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA,5.75325,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,5.338869565217391,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,5.396666666666667,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,5.511909090909091,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GASOLINA ADITIVADA,5.827470588235293,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,97.08695652173913,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,97.19565217391305,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,97.78571428571428,,
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,ANP_combustivel,GLP,97.84375,,
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,ANP_combustivel,DIESEL,5.85,,
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,ANP_combustivel,DIESEL,5.8533333333333335,,
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,ANP_combustivel,DIESEL,5.848999999999999,,
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,ANP_combustivel,DIESEL,5.848888888888889,,
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,ANP_combustivel,DIESEL,5.738,,
