uf,AnoMes,cota_media_cm,cota_max_cm,cota_min_cm,n_estacoes,n_dias,produto,classificao_produto,id_produto,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ABACAXI,PÉROLA,6320,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.85
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ACAI,FRUTO,8623,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.97
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ACUCAR,CRISTAL,4218,NORTE,2025,9,ATACADO,3.56
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ACUCAR,CRISTAL,4218,NORTE,2025,9,VAREJO,4.15
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ARROZ,LONGO FINO TIPO 1 BE,4693,NORTE,2025,9,VAREJO,5.1
AC,2025-09,85.21111111111111,254.0,18.0,3,90,ARROZ,LONGO FINO TIPO 1 BE,4693,NORTE,2025,9,ATACADO,4.23
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BANANA,PRATA,4629,NORTE,2025,9,VAREJO,8.02
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BANANA,NANICA,4627,NORTE,2025,9,VAREJO,1.36
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BANANA,NANICA,4627,NORTE,2025,9,VAREJO,9.04
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BANANA,PRATA,4629,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.89
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BANANA,PRATA,4629,NORTE,2025,9,VAREJO,0.8
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BATATA-DOCE,NÃO INFORMADO,9787,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,0.41
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BORRACHA,CERNAMBI VIRGEM PREN,7931,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.5
AC,2025-09,85.21111111111111,254.0,18.0,3,90,BURITI,FRUTO,11117,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,0.91
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CAFE,CONILLON,7090,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,17.09
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CAFE,MOÍDO E TORRADO,4704,NORTE,2025,9,VAREJO,73.06
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CAFE,MOÍDO E TORRADO,4704,NORTE,2025,9,ATACADO,78.85
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CARNE BOVINA,COXÃO DURO S/OSSO,4282,NORTE,2025,9,VAREJO,30.94
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CARNE BOVINA,PATINHO S/OSSO,4289,NORTE,2025,9,VAREJO,34.58
AC,2025-09,85.21111111111111,254.0,18.0,3,90,CARNE BOVINA,COXÃO MOLE S/OSSO,4283,NORTE,2025,9,VAREJO,36.08
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FARINHA DE MANDIOCA,MÉDIA AMARELO (A) 1,368,NORTE,2025,9,ATACADO,5.34
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FARINHA DE MANDIOCA,MÉDIA BRANCO (A) 1 S,363,NORTE,2025,9,ATACADO,6.79
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FARINHA DE MANDIOCA,MÉDIA SECA BRANCA,11247,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,3.07
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FARINHA DE MANDIOCA,SECA AMARELA,15347,NORTE,2025,9,VAREJO,5.8
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FARINHA DE TRIGO,SEM FERMENTO,14895,NORTE,2025,9,ATACADO,5.1
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FEIJAO,COMUM CORES,8778,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.69
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FEIJAO,COMUM CORES TIPO 1,8779,NORTE,2025,9,VAREJO,6.62
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FEIJAO,COMUM CORES TIPO 1,8779,NORTE,2025,9,ATACADO,5.92
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FLOCOS DE MILHO,FLOCÃO,11241,NORTE,2025,9,ATACADO,3.09
AC,2025-09,85.21111111111111,254.0,18.0,3,90,FUBA DE MILHO,COMUM AMARELO,13334,NORTE,2025,9,ATACADO,6.32
AC,2025-09,85.21111111111111,254.0,18.0,3,90,INHAME,NÃO INFORMADO,5528,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.87
AC,2025-09,85.21111111111111,254.0,18.0,3,90,LEITE DE VACA,EM PÓ INTEGRAL,4990,NORTE,2025,9,ATACADO,40.83
AC,2025-09,85.21111111111111,254.0,18.0,3,90,LEITE DE VACA,IN NATURA,6542,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.72
AC,2025-09,85.21111111111111,254.0,18.0,3,90,LEITE DE VACA,LONGA VIDA INTEGRAL,4998,NORTE,2025,9,VAREJO,7.23
AC,2025-09,85.21111111111111,254.0,18.0,3,90,LEITE DE VACA,LONGA VIDA INTEGRAL,4998,NORTE,2025,9,ATACADO,6.54
AC,2025-09,85.21111111111111,254.0,18.0,3,90,MACARRAO,ESPAGUETE SÊMOLA COM,11194,NORTE,2025,9,ATACADO,11.08
AC,2025-09,85.21111111111111,254.0,18.0,3,90,MANTEIGA,NÃO INFORMADO,8626,NORTE,2025,9,VAREJO,60.04
