uf,AnoMes,cota_media_cm,cota_max_cm,cota_min_cm,n_estacoes,n_dias,id_ano_comercializacao,id_mes_comercializacao,municipio_origem_produto,cod_ibge_municipio_origem_produto,dsc_ceasa,uf_ceasa,municipio_ceasa,cod_ibge_municipio_ceasa,dsc_produto,qtd_comercializada_kg,valor_comercializado,pais_origem
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,MARECHAL THAUMATURGO-AC,1200351,CEASA/PE - RECIFE,PE,RECIFE-PE,2611606,OUTROS GENEROS,1495,26087.75,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,TANGERINA PONKAN,20,49.9,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,SALSA,14,200.06,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,SALSA,55,785.95,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,PORTO ACRE-AC,1200807,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,SALSA,21,300.09,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,RUCULA,327,2181.09,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,RUCULA,613,4088.71,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,PORTO ACRE-AC,1200807,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,RUCULA,82,546.94,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,QUIABO,1475,6150.01,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,QUEIJO,1504,4512.0,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,CAPIXABA-AC,1200179,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,POLPA DE FRUTAS,14,140.0,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,CAPIXABA-AC,1200179,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,POLPA DE FRUTAS,18,180.0,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA DE CHEIRO,62,708.86,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA DE CHEIRO,6525,74602.28,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,PORTO ACRE-AC,1200807,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA DE CHEIRO,87,994.7,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,CAPIXABA-AC,1200179,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA DE CHEIRO,1995,23700.0,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,CAPIXABA-AC,1200179,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA DE CHEIRO,2656,30366.84,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PIMENTA ARDIDA,2,30.0,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PEPINO AODAI,4020,13426.8,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,SENADOR GUIOMARD-AC,1200450,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PEPINO AODAI,4720,16277.39,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,RIO BRANCO-AC,1200401,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PEPINO AODAI,57290,197570.29,Brasil
AC,2021-08,144.15591397849462,182.0,97.0,3,93,2021,8,PORTO ACRE-AC,1200807,CEASA/AC - RIO BRANCO,AC,RIO BRANCO-AC,1200401,PEPINO AODAI,420,1448.41,Brasil
